"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Armcx5","GSM2545336",1189,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","494468","armadillo repeat containing, X-linked 5","ENSMUSG00000072969",NA,"X","protein_coding",NA,"ARMCX5"
"Cryab","GSM2545336",2328,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","12955","crystallin, alpha B, transcript variant 1","ENSMUSG00000032060","alpha B-crystallin","9","protein_coding","decreased circulating phosphate level","CRYAB"
"Prss53","GSM2545336",73,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","330657","protease, serine 53","ENSMUSG00000044139","BC039632","7","protein_coding","abnormal bone structure","PRSS53"
"Car4","GSM2545336",3195,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","12351","carbonic anhydrase 4","ENSMUSG00000000805","CA IV","11","protein_coding","abnormal lens morphology","CA4"
"Gm6277","GSM2545336",134,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","621998","predicted gene 6277","ENSMUSG00000097440",NA,"18","lncRNA",NA,NA
"Amt","GSM2545336",709,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","434437","aminomethyltransferase","ENSMUSG00000032607","EG434437","9","protein_coding","abnormal neural tube morphology","AMT"
"Zc3h6","GSM2545336",1980,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","78751","zinc finger CCCH type containing 6","ENSMUSG00000042851","4631426G04Rik","2","protein_coding",NA,"ZC3H6"
"Aqp4","GSM2545336",15950,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","11829","aquaporin 4","ENSMUSG00000024411","aquaporin-4","18","protein_coding","abnormal astrocyte physiology","AQP4"
"Tmem198b","GSM2545336",689,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","73827","transmembrane protein 198b, transcript variant X7","ENSMUSG00000047090","1110012D08Rik","10","protein_coding","reduced sensorimotor gating",NA
"Abi3bp","GSM2545336",807,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","320712","ABI gene family, member 3 (NESH) binding protein, transcript variant X27","ENSMUSG00000035258","5033411B22Rik","16","protein_coding","preweaning lethality incomplete penetrance","ABI3BP"
"Xpa","GSM2545336",665,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","22590","xeroderma pigmentosum, complementation group A, transcript variant X2","ENSMUSG00000028329","Xpac","4","protein_coding","abnormal Langerhans cell physiology","XPA"
"Aldh6a1","GSM2545336",5851,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","104776","aldehyde dehydrogenase family 6, subfamily A1","ENSMUSG00000021238","1110038I05Rik","12","protein_coding",NA,"ALDH6A1"
"Adam1a","GSM2545336",440,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","280668","a disintegrin and metallopeptidase domain 1a","ENSMUSG00000072647","fertilin alpha","5","protein_coding","abnormal fertilization",NA
"Dynlt1a","GSM2545336",397,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","100310872","dynein light chain Tctex-type 1A","ENSMUSG00000092074",NA,"17","protein_coding",NA,"DYNLT1"
"Gatm","GSM2545336",3748,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","67092","glycine amidinotransferase (L-arginine:glycine amidinotransferase)","ENSMUSG00000027199","1810003P21Rik","2","protein_coding","abnormal behavior","GATM"
"H2-Q4","GSM2545336",535,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","15015","histocompatibility 2, Q region locus 4, transcript variant X4","ENSMUSG00000035929","H-2Q4","17","protein_coding",NA,"HLA-E"
"Nras","GSM2545336",1472,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18176","neuroblastoma ras oncogene","ENSMUSG00000027852","N-ras","3","protein_coding","decreased basophil cell number","NRAS"
"Pla2g4e","GSM2545336",1064,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","329502","phospholipase A2, group IVE, transcript variant X4","ENSMUSG00000050211","2310026J01Rik","2","protein_coding","abnormal coat appearance","PLA2G4E"
"Lpar1","GSM2545336",1535,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","14745","lysophosphatidic acid receptor 1, transcript variant X4","ENSMUSG00000038668","Edg2","4","protein_coding","preweaning lethality complete penetrance","LPAR1"
"Il12rb1","GSM2545336",154,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","16161","interleukin 12 receptor, beta 1, transcript variant X1","ENSMUSG00000000791","CD212","8","protein_coding","abnormal skin coloration","IL12RB1"
"Enpp6","GSM2545336",378,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","320981","ectonucleotide pyrophosphatase/phosphodiesterase 6, transcript variant X2","ENSMUSG00000038173","4833421B01Rik","8","protein_coding",NA,"ENPP6"
"Ermn","GSM2545336",2737,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","77767","ermin, ERM-like protein","ENSMUSG00000026830","A330104H05Rik","2","protein_coding","increased blood urea nitrogen level","ERMN"
"Marcksl1","GSM2545336",880,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","17357","MARCKS-like 1","ENSMUSG00000047945","D4Bc1","4","protein_coding","abnormal brain morphology","MARCKSL1"
"Ubqln4","GSM2545336",2976,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","94232","ubiquilin 4, transcript variant X1","ENSMUSG00000008604","UBIN","3","protein_coding",NA,"UBQLN4"
"Glt8d1","GSM2545336",1129,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","76485","glycosyltransferase 8 domain containing 1, transcript variant X1","ENSMUSG00000021916","2410004H05Rik","14","protein_coding","no abnormal phenotype detected","GLT8D1"
"Ddx25","GSM2545336",1990,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","30959","DEAD (Asp-Glu-Ala-Asp) box polypeptide 25","ENSMUSG00000032101","DEAD (Asp-Glu-Ala-Asp) box polypeptide 25","9","protein_coding","abnormal Leydig cell morphology","DDX25"
"Gpr17","GSM2545336",500,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","574402","G protein-coupled receptor 17","ENSMUSG00000052229",NA,"18","protein_coding","abnormal myelination","GPR17"
"Cat","GSM2545336",2143,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","12359","catalase","ENSMUSG00000027187","Cas-1","2","protein_coding","abnormal aerobic respiration","CAT"
"Wwox","GSM2545336",1317,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","80707","WW domain-containing oxidoreductase, transcript variant X9","ENSMUSG00000004637","5330426P09Rik","8","protein_coding","abnormal circulating enzyme level","WWOX"
"Phkg1","GSM2545336",528,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18682","phosphorylase kinase gamma 1","ENSMUSG00000025537",NA,"5","protein_coding","abnormal kidney morphology","PHKG1"
"Ppp1r3f","GSM2545336",1479,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","54646","protein phosphatase 1, regulatory (inhibitor) subunit 3F, transcript variant 2","ENSMUSG00000039556","DXImx48e","X","protein_coding",NA,"PPP1R3F"
"Mrpl35","GSM2545336",1018,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","66223","mitochondrial ribosomal protein L35","ENSMUSG00000052962","1110066C01Rik","6","protein_coding",NA,"MRPL35"
"Nudt9","GSM2545336",2112,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","74167","nudix (nucleoside diphosphate linked moiety X)-type motif 9, transcript variant X1","ENSMUSG00000029310","1190002C07Rik","5","protein_coding",NA,"NUDT9"
"Lypd6","GSM2545336",2006,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","320343","LY6/PLAUR domain containing 6, transcript variant 2","ENSMUSG00000050447","E130115E03Rik","2","protein_coding","abnormal skin morphology","LYPD6"
"Spice1","GSM2545336",494,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","212514","spindle and centriole associated protein 1, transcript variant X4","ENSMUSG00000043065","Ccdc52","16","protein_coding","improved glucose tolerance","SPICE1"
"Tuba8","GSM2545336",1047,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","53857","tubulin, alpha 8","ENSMUSG00000030137",NA,"6","protein_coding","abnormal sinus arrhythmia","TUBA8"
"Spon1","GSM2545336",5825,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","233744","spondin 1, (f-spondin) extracellular matrix protein","ENSMUSG00000038156","D330035F22Rik","7","protein_coding","abnormal bone remodeling","SPON1"
"Nfya","GSM2545336",831,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18044","nuclear transcription factor-Y alpha, transcript variant X5","ENSMUSG00000023994","Cbf-b","17","protein_coding","abnormal eye morphology","NFYA"
"Sc5d","GSM2545336",3473,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","235293","sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae), transcript variant X1","ENSMUSG00000032018","A830073K23Rik","9","protein_coding","abnormal autopod morphology","SC5D"
"Aldh18a1","GSM2545336",760,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","56454","aldehyde dehydrogenase 18 family, member A1, transcript variant 2","ENSMUSG00000025007","2810433K04Rik","19","protein_coding","abnormal hypodermis fat layer morphology","ALDH18A1"
"Ebp","GSM2545336",798,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","13595","phenylalkylamine Ca2+ antagonist (emopamil) binding protein","ENSMUSG00000031168","mSI","X","protein_coding","abnormal embryonic erythrocyte morphology",NA
"Srr","GSM2545336",2107,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","27364","serine racemase, transcript variant X2","ENSMUSG00000001323","M100034","11","protein_coding","abnormal excitatory postsynaptic currents","SRR"
"Gm14827","GSM2545336",198,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","100503393","predicted gene 14827","ENSMUSG00000084904",NA,"X","lncRNA",NA,NA
"Gm31135","GSM2545336",21,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","102633271","predicted gene, 31135, transcript variant X9","ENSMUSG00000109127","Gm45158","8","lncRNA",NA,NA
"Adam17","GSM2545336",965,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","11491","a disintegrin and metallopeptidase domain 17, transcript variant 3","ENSMUSG00000052593","CD156b","12","protein_coding","abnormal vibrissa morphology","ADAM17"
"Slc39a2","GSM2545336",469,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","214922","solute carrier family 39 (zinc transporter), member 2, transcript variant X1","ENSMUSG00000072572","F730005G13Rik","14","protein_coding","abnormal calcium ion homeostasis","SLC39A2"
"Snn","GSM2545336",7118,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","20621","stannin","ENSMUSG00000037972","2810407J07Rik","16","protein_coding",NA,"SNN"
"Hnrnpc","GSM2545336",7924,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","15381","heterogeneous nuclear ribonucleoprotein C, transcript variant 3","ENSMUSG00000060373","D14Wsu171e","14","protein_coding","abnormal lens morphology","HNRNPCL2"
"Srbd1","GSM2545336",366,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","78586","S1 RNA binding domain 1, transcript variant X1","ENSMUSG00000024135","D530025C17Rik","17","protein_coding","abnormal coat/hair pigmentation","SRBD1"
"Ptp4a1","GSM2545336",1395,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","19243","protein tyrosine phosphatase 4a1, transcript variant X1","ENSMUSG00000026064","Prl-1","1","protein_coding","abnormal heart morphology","PTP4A1"
"Tppp","GSM2545336",8715,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","72948","tubulin polymerization promoting protein","ENSMUSG00000021573","2900041A09Rik","13","protein_coding","abnormal behavior","TPPP"
"Stac3","GSM2545336",101,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","237611","SH3 and cysteine rich domain 3, transcript variant X1","ENSMUSG00000040287",NA,"10","protein_coding","abnormal Z line morphology","STAC3"
"Emid1","GSM2545336",284,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","140703","EMI domain containing 1, transcript variant X2","ENSMUSG00000034164","CO-5","11","protein_coding","decreased circulating free fatty acids level","EMID1"
"Cotl1","GSM2545336",5397,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","72042","coactosin-like 1 (Dictyostelium)","ENSMUSG00000031827","1810074P22Rik","8","protein_coding","abnormal coat/hair pigmentation","COTL1"
"Ovgp1","GSM2545336",1301,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","12659","oviductal glycoprotein 1","ENSMUSG00000074340","Chit5","3","protein_coding",NA,"OVGP1"
"Ssx2ip","GSM2545336",4386,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","99167","synovial sarcoma, X breakpoint 2 interacting protein, transcript variant X2","ENSMUSG00000036825","Adip","3","protein_coding","decreased grip strength","SSX2IP"
"Hsd3b7","GSM2545336",546,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","101502","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7, transcript variant 1","ENSMUSG00000042289",NA,"7","protein_coding","abnormal bile salt homeostasis","HSD3B7"
"Kazald1","GSM2545336",372,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","107250","Kazal-type serine peptidase inhibitor domain 1, transcript variant X3","ENSMUSG00000025213","Bono1","19","protein_coding",NA,"KAZALD1"
"Omd","GSM2545336",413,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","27047","osteomodulin, transcript variant X1","ENSMUSG00000048368","OSAD","13","protein_coding","impaired cued conditioning behavior","OMD"
"Bcas1","GSM2545336",5485,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","76960","breast carcinoma amplified sequence 1, transcript variant X2","ENSMUSG00000013523","2210416M21Rik","2","protein_coding","abnormal lung morphology","BCAS1"
"Gm9925","GSM2545336",689,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","433202","predicted gene 9925, transcript variant X1","ENSMUSG00000053861",NA,"18","protein_coding",NA,NA
"Dleu2","GSM2545336",247,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","668253","deleted in lymphocytic leukemia, 2","ENSMUSG00000097589","1810047A16Rik","14","lncRNA",NA,NA
"Chil3","GSM2545336",111,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","12655","chitinase-like 3","ENSMUSG00000040809","Chi3l3","3","protein_coding",NA,"CHIA"
"Deaf1","GSM2545336",3343,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","54006","deformed epidermal autoregulatory factor 1 (Drosophila), transcript variant 3","ENSMUSG00000058886","C230009B13Rik","7","protein_coding","abnormal neural tube morphology","DEAF1"
"Dusp19","GSM2545336",205,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","68082","dual specificity phosphatase 19","ENSMUSG00000027001","5930436K22Rik","2","protein_coding",NA,"DUSP19"
"Gkn3","GSM2545336",25,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","68888","gastrokine 3","ENSMUSG00000030048","1190003M12Rik","6","protein_coding",NA,"GKN3P"
"Pllp","GSM2545336",1134,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","67801","plasma membrane proteolipid","ENSMUSG00000031775","0610010I06Rik","8","protein_coding",NA,"PLLP"
"Sox2ot","GSM2545336",596,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","320478","SOX2 overlapping transcript (non-protein coding)","ENSMUSG00000105265","B230215L15Rik","3","lncRNA",NA,NA
"Ntf3","GSM2545336",75,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18205","neurotrophin 3, transcript variant X1","ENSMUSG00000049107","NT-3","6","protein_coding","abnormal Merkel's receptor morphology","NTF3"
"Lum","GSM2545336",136,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","17022","lumican","ENSMUSG00000036446","Ldc","10","protein_coding","abnormal tail morphology","LUM"
"Gm20751","GSM2545336",240,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","622552","predicted gene, 20751","ENSMUSG00000110016",NA,"13","lncRNA",NA,NA
"Thnsl2","GSM2545336",274,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","232078","threonine synthase-like 2 (bacterial), transcript variant 2","ENSMUSG00000054474","TSH2","6","protein_coding",NA,"THNSL2"
"Slc2a4rg-ps","GSM2545336",273,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","329584","Slc2a4 regulator, pseudogene","ENSMUSG00000085028",NA,"2","transcribed_unitary_pseudogene",NA,NA
"Agpat5","GSM2545336",3065,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","52123","1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)","ENSMUSG00000031467","1110013A05Rik","8","protein_coding","hepatic steatosis","AGPAT5"
"Mdk","GSM2545336",690,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","17242","midkine, transcript variant 6","ENSMUSG00000027239","Mek","2","protein_coding","decreased circulating glucose level","MDK"
"Penk","GSM2545336",4674,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18619","preproenkephalin, transcript variant X1","ENSMUSG00000045573","ENK","4","protein_coding","abnormal bone structure","PENK"
"Cirbp","GSM2545336",7079,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","12696","cold inducible RNA binding protein, transcript variant X2","ENSMUSG00000045193","Cirp","10","protein_coding","abnormal cell cycle","CIRBP"
